names,coef,se,T,pval,r2,adj_r2,CI[2.5%],CI[97.5%]
Intercept,19.538,0.467,41.802,0.0,0.239,0.084,18.612,20.464
chan_0_exponent0,-1.889,5.617,-0.336,0.737,0.239,0.084,-13.017,9.238
chan_0_exponent1,6.278,8.055,0.779,0.437,0.239,0.084,-9.68,22.236
chan_0_alpha0,0.375,0.516,0.726,0.469,0.239,0.084,-0.648,1.397
chan_0_alpha1,3.219,1.938,1.661,0.099,0.239,0.084,-0.62,7.058
chan_0_beta0,-0.12,0.261,-0.461,0.646,0.239,0.084,-0.637,0.397
chan_1_alpha1,1.085,1.927,0.563,0.575,0.239,0.084,-2.734,4.903
chan_3_alpha0,-0.532,0.415,-1.281,0.203,0.239,0.084,-1.355,0.291
chan_3_beta0,-0.196,0.293,-0.669,0.505,0.239,0.084,-0.777,0.385
chan_4_alpha1,-3.983,1.463,-2.723,0.007,0.239,0.084,-6.881,-1.085
chan_11_exponent1,1.137,2.621,0.434,0.665,0.239,0.084,-4.056,6.331
chan_13_exponent0,4.03,2.419,1.666,0.098,0.239,0.084,-0.762,8.822
chan_13_alpha0,0.38,0.515,0.738,0.462,0.239,0.084,-0.64,1.401
chan_13_alpha1,1.125,2.427,0.463,0.644,0.239,0.084,-3.684,5.934
chan_14_exponent1,-3.936,2.55,-1.544,0.125,0.239,0.084,-8.987,1.115
chan_14_alpha1,-3.568,1.974,-1.807,0.073,0.239,0.084,-7.48,0.344
chan_16_exponent0,-0.477,1.801,-0.265,0.792,0.239,0.084,-4.045,3.092
chan_16_alpha0,0.227,0.57,0.399,0.691,0.239,0.084,-0.901,1.356
chan_16_alpha1,-0.739,2.012,-0.367,0.714,0.239,0.084,-4.725,3.247
chan_17_alpha0,0.28,0.713,0.393,0.695,0.239,0.084,-1.132,1.692
chan_18_exponent1,1.351,2.516,0.537,0.592,0.239,0.084,-3.633,6.335
chan_18_alpha0,0.53,0.526,1.009,0.315,0.239,0.084,-0.511,1.572
chan_18_alpha1,0.031,1.886,0.016,0.987,0.239,0.084,-3.706,3.768
chan_29_alpha0,0.403,0.415,0.971,0.333,0.239,0.084,-0.419,1.224
